,Year,Month,Manufacturer,Model,Quantity
0,2007,1,Volkswagen ,Volkswagen Passat,1267
1,2007,1,Toyota ,Toyota Rav4,819
2,2007,1,Toyota ,Toyota Avensis,787
3,2007,1,Volkswagen ,Volkswagen Golf,720
4,2007,1,Toyota ,Toyota Corolla,691
5,2007,1,Peugeot ,Peugeot 307,481
6,2007,1,Skoda ,Skoda Octavia,481
7,2007,1,Toyota ,Toyota Yaris,402
8,2007,1,Ford ,Ford Focus,400
9,2007,1,Volvo ,Volvo V50,346
10,2007,1,Peugeot ,Peugeot 207,320
11,2007,1,Audi ,Audi A4,269
12,2007,1,Volkswagen ,Volkswagen Touran,235
13,2007,1,Ford ,Ford S-Max,231
14,2007,1,Opel ,Opel Astra,218
15,2007,1,Volkswagen ,Volkswagen Polo,218
16,2007,1,Audi ,Audi A3,202
17,2007,1,BMW ,BMW 3-serie,183
18,2007,1,Opel ,Opel Vectra,178
19,2007,1,Honda ,Honda CR-V,172
20,2007,2,Volkswagen ,Volkswagen Passat,602
21,2007,2,Toyota ,Toyota Avensis,540
22,2007,2,Toyota ,Toyota Corolla,505
23,2007,2,Volkswagen ,Volkswagen Golf,442
24,2007,2,Toyota ,Toyota Yaris,353
25,2007,2,Toyota ,Toyota Rav4,346
26,2007,2,Skoda ,Skoda Octavia,334
27,2007,2,Peugeot ,Peugeot 307,308
28,2007,2,Ford ,Ford Focus,296
29,2007,2,Volvo ,Volvo V70,228
30,2007,2,Honda ,Honda CR-V,225
31,2007,2,Opel ,Opel Astra,221
32,2007,2,Audi ,Audi A4,191
33,2007,2,Volkswagen ,Volkswagen Touran,189
34,2007,2,Peugeot ,Peugeot 207,185
35,2007,2,Volvo ,Volvo V50,179
36,2007,2,Audi ,Audi A3,165
37,2007,2,Volkswagen ,Volkswagen Polo,162
38,2007,2,Ford ,Ford S-Max,151
39,2007,2,BMW ,BMW 3-serie,149
40,2007,3,Volkswagen ,Volkswagen Passat,521
41,2007,3,Toyota ,Toyota Avensis,521
42,2007,3,Volkswagen ,Volkswagen Golf,402
43,2007,3,Peugeot ,Peugeot 307,371
44,2007,3,Toyota ,Toyota Corolla,313
45,2007,3,Toyota ,Toyota Rav4,312
46,2007,3,Ford ,Ford Focus,311
47,2007,3,Skoda ,Skoda Octavia,295
48,2007,3,Toyota ,Toyota Yaris,267
49,2007,3,Honda ,Honda CR-V,266
50,2007,3,Audi ,Audi A4,239
51,2007,3,Volvo ,Volvo V70,236
52,2007,3,Peugeot ,Peugeot 207,229
53,2007,3,Ford ,Ford S-Max,219
54,2007,3,Saab ,Saab 9-3,214
55,2007,3,Opel ,Opel Astra,211
56,2007,3,Volvo ,Volvo V50,197
57,2007,3,Volkswagen ,Volkswagen Polo,197
58,2007,3,Volkswagen ,Volkswagen Touran,194
59,2007,3,Audi ,Audi A3,184
60,2007,4,Volkswagen ,Volkswagen Passat,375
61,2007,4,Volkswagen ,Volkswagen Golf,342
62,2007,4,Peugeot ,Peugeot 307,270
63,2007,4,Skoda ,Skoda Octavia,253
64,2007,4,Volvo ,Volvo V70,248
65,2007,4,Toyota ,Toyota Avensis,245
66,2007,4,Toyota ,Toyota Corolla,236
67,2007,4,Toyota ,Toyota Rav4,229
68,2007,4,Volkswagen ,Volkswagen Touran,229
69,2007,4,Honda ,Honda CR-V,215
70,2007,4,Toyota ,Toyota Yaris,198
71,2007,4,Audi ,Audi A3,196
72,2007,4,Audi ,Audi A4,194
73,2007,4,Volkswagen ,Volkswagen Polo,167
74,2007,4,Saab ,Saab 9-3,167
75,2007,4,Opel ,Opel Astra,152
76,2007,4,Ford ,Ford Focus,147
77,2007,4,Peugeot ,Peugeot 207,139
78,2007,4,Ford ,Ford S-Max,117
79,2007,4,Volvo ,Volvo V50,111
80,2007,5,Volkswagen ,Volkswagen Golf,669
81,2007,5,Volkswagen ,Volkswagen Passat,607
82,2007,5,Toyota ,Toyota Auris,443
83,2007,5,Volvo ,Volvo V70,403
84,2007,5,Toyota ,Toyota Avensis,383
85,2007,5,Toyota ,Toyota Rav4,368
86,2007,5,Honda ,Honda CR-V,349
87,2007,5,Peugeot ,Peugeot 307,335
88,2007,5,Skoda ,Skoda Octavia,279
89,2007,5,Ford ,Ford Focus,274
90,2007,5,Toyota ,Toyota Yaris,270
91,2007,5,Volkswagen ,Volkswagen Touran,262
92,2007,5,Volkswagen ,Volkswagen Polo,258
93,2007,5,Toyota ,Toyota Corolla,250
94,2007,5,Saab ,Saab 9-3,224
95,2007,5,Audi ,Audi A4,221
96,2007,5,Peugeot ,Peugeot 207,221
97,2007,5,Audi ,Audi A3,216
98,2007,5,Opel ,Opel Astra,187
99,2007,5,Volvo ,Volvo V50,111
100,2007,6,Volkswagen ,Volkswagen Golf,510
101,2007,6,Volkswagen ,Volkswagen Passat,509
102,2007,6,Toyota ,Toyota Avensis,487
103,2007,6,Honda ,Honda CR-V,468
104,2007,6,Toyota ,Toyota Auris,363
105,2007,6,Volvo ,Volvo V70,360
106,2007,6,Toyota ,Toyota Rav4,315
107,2007,6,Skoda ,Skoda Octavia,295
108,2007,6,Ford ,Ford Focus,289
109,2007,6,Peugeot ,Peugeot 307,266
110,2007,6,Volkswagen ,Volkswagen Polo,227
111,2007,6,Opel ,Opel Astra,214
112,2007,6,Toyota ,Toyota Yaris,202
113,2007,6,Volkswagen ,Volkswagen Touran,191
114,2007,6,Audi ,Audi A4,188
115,2007,6,Saab ,Saab 9-3,161
116,2007,6,Audi ,Audi A3,157
117,2007,6,Peugeot ,Peugeot 207,155
118,2007,6,Toyota ,Toyota Corolla,118
119,2007,6,Volvo ,Volvo V50,79
120,2007,7,Volkswagen ,Volkswagen Passat,811
121,2007,7,Toyota ,Toyota Avensis,587
122,2007,7,Volvo ,Volvo V70,507
123,2007,7,Ford ,Ford Mondeo,472
124,2007,7,Volkswagen ,Volkswagen Golf,447
125,2007,7,Toyota ,Toyota Auris,420
126,2007,7,Toyota ,Toyota Rav4,396
127,2007,7,Peugeot ,Peugeot 307,331
128,2007,7,Volvo ,Volvo V50,312
129,2007,7,Ford ,Ford Focus,301
130,2007,7,Skoda ,Skoda Octavia,290
131,2007,7,Audi ,Audi A4,247
132,2007,7,Peugeot ,Peugeot 207,239
133,2007,7,Honda ,Honda CR-V,233
134,2007,7,Toyota ,Toyota Yaris,229
135,2007,7,Volkswagen ,Volkswagen Touran,218
136,2007,7,Volkswagen ,Volkswagen Polo,214
137,2007,7,Opel ,Opel Astra,205
138,2007,7,Audi ,Audi A3,177
139,2007,7,Toyota ,Toyota Corolla,149
140,2007,8,Volkswagen ,Volkswagen Passat,644
141,2007,8,Mitsubishi ,Mitsubishi Outlander,524
142,2007,8,Volkswagen ,Volkswagen Golf,476
143,2007,8,Toyota ,Toyota Avensis,463
144,2007,8,Ford ,Ford Mondeo,431
145,2007,8,Toyota ,Toyota Auris,422
146,2007,8,Toyota ,Toyota Rav4,346
147,2007,8,Volvo ,Volvo V70,278
148,2007,8,Skoda ,Skoda Octavia,258
149,2007,8,Audi ,Audi A4,223
150,2007,8,Toyota ,Toyota Yaris,210
151,2007,8,Volkswagen ,Volkswagen Polo,210
152,2007,8,Peugeot ,Peugeot 307,209
153,2007,8,Volkswagen ,Volkswagen Touran,209
154,2007,8,Ford ,Ford Focus,200
155,2007,8,Toyota ,Toyota Corolla,175
156,2007,8,Peugeot ,Peugeot 207,163
157,2007,8,Audi ,Audi A3,156
158,2007,8,Honda ,Honda CR-V,146
159,2007,8,Opel ,Opel Astra,146
160,2007,9,Volkswagen ,Volkswagen Golf,473
161,2007,9,Volkswagen ,Volkswagen Passat,459
162,2007,9,Mitsubishi ,Mitsubishi Outlander,410
163,2007,9,Volvo ,Volvo V70,384
164,2007,9,Toyota ,Toyota Avensis,303
165,2007,9,Toyota ,Toyota Auris,287
166,2007,9,Ford ,Ford Mondeo,281
167,2007,9,Ford ,Ford Focus,277
168,2007,9,Toyota ,Toyota Rav4,245
169,2007,9,Toyota ,Toyota Yaris,234
170,2007,9,Skoda ,Skoda Octavia,192
171,2007,9,Honda ,Honda CR-V,190
172,2007,9,Volkswagen ,Volkswagen Touran,177
173,2007,9,Peugeot ,Peugeot 307,166
174,2007,9,Audi ,Audi A4,157
175,2007,9,Opel ,Opel Astra,150
176,2007,9,Volkswagen ,Volkswagen Polo,149
177,2007,9,Peugeot ,Peugeot 207,125
178,2007,9,Audi ,Audi A3,123
179,2007,9,Toyota ,Toyota Corolla,95
180,2007,10,Volkswagen ,Volkswagen Golf,675
181,2007,10,Volvo ,Volvo V70,615
182,2007,10,Toyota ,Toyota Avensis,535
183,2007,10,Volkswagen ,Volkswagen Passat,491
184,2007,10,Toyota ,Toyota Auris,369
185,2007,10,Volkswagen ,Volkswagen Touran,356
